N;t
110;0
121;0
132;42
143;1
154;1
165;1
176;1
187;1
198;2
209;2
220;3
231;2
242;3
253;3
264;3
275;7
286;4
297;5
308;5
319;7
330;5
341;6
352;6
363;6
374;9
385;7
396;11
407;8
418;9
429;9
440;10
451;10
462;14
473;11
484;11
495;12
506;13
517;13
528;13
539;14
550;14
561;15
572;17
583;16
594;17
605;17
616;18
627;18
638;19
649;20
660;21
671;22
682;23
693;24
704;24
715;25
726;26
737;27
748;29
759;28
770;30
781;30
792;34
803;32
814;34
825;34
836;43
847;36
858;43
869;37
880;51
891;43
902;39
913;41
924;51
935;52
946;53
957;46
968;64
979;49
990;49
1001;50
1012;61
1023;57
1034;53
1045;54
1056;55
1067;56
1078;67
1089;63
1100;60
