N;t
110;6
121;7
132;9
143;10
154;12
165;14
176;15
187;17
198;20
209;34
220;30
231;40
242;30
253;31
264;34
275;36
286;39
297;42
308;45
319;48
330;51
341;54
352;58
363;61
374;65
385;92
396;86
407;76
418;81
429;84
440;119
451;126
462;141
473;133
484;148
495;153
506;164
517;170
528;178
539;180
550;192
561;150
572;146
583;152
594;158
605;163
616;177
627;191
638;183
649;187
660;193
671;223
682;206
693;213
704;232
715;227
726;233
737;244
748;252
759;254
770;261
781;269
792;276
803;283
814;290
825;299
836;306
847;315
858;322
869;330
880;338
891;347
902;355
913;363
924;372
935;383
946;389
957;400
968;408
979;416
990;426
1001;439
1012;442
1023;478
1034;463
1045;471
1056;481
1067;492
1078;499
1089;511
1100;525
