N;t
110;16
121;15
132;15
143;15
154;16
165;16
176;16
187;16
198;16
209;16
220;16
231;16
242;16
253;16
264;16
275;16
286;16
297;16
308;16
319;16
330;16
341;16
352;16
363;17
374;17
385;17
396;17
407;17
418;17
429;17
440;17
451;17
462;17
473;17
484;17
495;17
506;17
517;17
528;17
539;17
550;18
561;18
572;18
583;18
594;18
605;18
616;18
627;18
638;18
649;18
660;18
671;18
682;18
693;18
704;18
715;18
726;18
737;19
748;19
759;19
770;19
781;19
792;19
803;19
814;19
825;19
836;19
847;19
858;19
869;19
880;19
891;19
902;19
913;19
924;20
935;19
946;20
957;24
968;20
979;20
990;20
1001;20
1012;20
1023;20
1034;20
1045;20
1056;20
1067;20
1078;21
1089;21
1100;21
