N;t
110;2
121;2
132;3
143;3
154;3
165;4
176;4
187;5
198;5
209;5
220;6
231;7
242;8
253;8
264;8
275;9
286;10
297;17
308;10
319;12
330;11
341;11
352;11
363;13
374;14
385;17
396;15
407;17
418;15
429;16
440;18
451;16
462;18
473;19
484;19
495;19
506;21
517;20
528;21
539;22
550;22
561;21
572;24
583;24
594;25
605;26
616;26
627;26
638;33
649;29
660;29
671;29
682;31
693;31
704;29
715;32
726;34
737;33
748;36
759;36
770;42
781;42
792;42
803;36
814;38
825;41
836;37
847;44
858;40
869;40
880;41
891;46
902;42
913;50
924;46
935;54
946;48
957;56
968;48
979;51
990;50
1001;60
1012;49
1023;52
1034;53
1045;66
1056;53
1067;55
1078;56
1089;55
1100;55
